,text,prediction
44,amazing we destroy life on this planet human or animal without a whim yet we spend millions trying to find bacterial life on another one and at the same time litteringcontaminating the solar system with rubbish like we litter this planet amazing im all for exploration but cant we be a little bit more responsible about the way we go about it and more importantly care more for the life that is right in front of our eyes on earth we are so irresponsible,4.0
45,meanwhile in marsmarsians see the rover landingmarsiansthe gods must be crazy,4.0
46,in the first manned mission to mars is accomplished meridian base is established by the usa nasaspacex the mission will be named ares this will happen in the next years if you dont believe me take a screen shot and comeback in after they succeeded the mission this was written in,4.0
47,ill be impressed when when perseverance captures a glimpse of elons tesla screaming by the planet,4.0
48,im here to herd sheep,4.0
49,pog,4.0
50,wow thats so cool,4.0
51,the nerd celebration at the end,4.0
52,seconds later a giant worm eats rover,4.0
53,what a huge success,4.0
54,gives me goosebumps just thinking how far this is from us,4.0
55,and robot planet mars gets its latest citizen,4.0
56,rest is up to elon musk,4.0
57,it feels so surreal to be able to see so clearly the surface of another planet i hope i can live long enough to see maybe the first man on mars,4.0
58,millions of dollars just to see dust and rock,4.0
59,interesting dust cloud just before touchdown did apolo have this on the moon,4.0
60,wow aweinspiring simply impressive,4.0
61,amazing understated and historic video from another planet,4.0
62,broadsword calling danny boy,4.0
63,just simply incredible,4.0
64,just the idea of being able to send and receive video files million miles away is an achievement in itself,4.0
65,amazing,4.0
66,wow this is so cool,4.0
67,when human finally manage to settle a colonies there i hope some of the city are named after all of these rovers,4.0
68,amazing,4.0
69,utterly aazing,4.0
70,mars looks a lot like greenland,4.0
71,funny how it was already on the ground when all this was taking place,0.0
72,where is mark watney,0.0
73,i want to be first human to die on marswith my own mission without any country barriers or government help,0.0
74,where are the flat marsians nowoh sorry i mean the flat earthersflat earthers flat marsians,0.0
75,its impossible for humans to live on mars they cant even create a vehicle that will survive the ocean depths what more of a dead planet that has no protection from outer spacewhile this could be an achievement the money could have helped during the pandemic is now really the time to spend billions on exploring a dead planet the money could have been used to mitigate climate change or help people into green technologieslifestylesor if they really want to have a backup plan for the destruction of earth put the money into experimenting with colonies that could survive the harshness of space or whateversuch waste of money just to prove that mars is a dead planet,0.0
76,if we spend all military budget the world are spending on space and science just think how far humanity are capable to go,0.0
77,nobody can validate that st hand so we trust these space agencies to give us the truth but they could be paid off or under threat this could all be cgi,0.0
78,f marvelous now then any flat marsers here,0.0
79,at last the end of low res static photos,0.0
80,nasa is literally out of this world salute from india,0.0
81,but when will they land on snickers,0.0
82,now the other rover wont be singing happy bday to itself anymore,0.0
83,the parachute going down means that the mars has also a gravitational force,0.0
84,die marsianer denken jetzt auch jetzt kommen die deppen schon auf den marsch angeschissen um alles zu versauen aber schon komisch das so ne kleine sonde so viel staub aufwirbelt wie es htte bei der mondlandung sein sollte,0.0
85,why those rocket engines look like they arent ignited do they just use compressed air,0.0
86,flat earthers this cgi isnt very realistic,0.0
87,earth is dying let go to another planet and destroy it too humanity is sooooo overrated lets feed the billions of hungry people of earth solve our problems here before trying to make more on another planet,0.0
88,how come the wheels are smooth,0.0
89,prove it all i see is bad technology,0.0
90,how fast is nasas internet,0.0
91,no transformers,0.0
92,i cant believe that nasa was able to get complete clear footage of landinghats off nasa,0.0
93,i hope people dont really believe any of this is real they can get to mars but they just cant figure out how to get back to the moon total bs,0.0
94,waiting for confused travolta memes,0.0
95,great news but i wish there wasnt anyone on earth suffering from hunger malnutrition and of lack of educationwe need to sort out our priorities,0.0
96,where is flat mars society,0.0
97,brother curie im home persie,0.0
98,mars is flat,0.0
99,i dont want to offend mars but it looks like a chocolate moose,0.0
