index,text,target
49,Truly incredible...,0
50,They better meet up with spirit,0
51,I thought that was GME going to Mars!!,0
52,Half Life?,0
53,Why those rocket engines look like they aren't ignited? :44Do they just use compressed air?,0
54,"I'm sorry..but if The Lord wanted man to go into space and love on another planet, He would have made it so much easier rather than humans trying their best through their own achievements. As far as I know...there will be a day all will end before we ever live on another planet.",0
55,"Im curious, will it find the opportunity rover?",0
56,Flat Earthers: This CGI isn't very realistic.,0
57,Earth is dying. Let go to another planet and destroy it too. Humanity is sooooo overrated. Lets feed the billions of hungry people of earth? Solve our problems here before trying to make more on another planet?,0
58,How come the wheels are smooth ?,0
59,Prove it!!!! All I see is bad technology.,0
60,"As somebody born long after the moon landing, these are pictures I will never forget",0
61,Wow... Video of the landing. This is incredible!,0
62,Can't wait to export our BS to another planet. The sooner we exploit Mars the better.,0
63,"Amazing! We destroy life on this planet, human or animal, without a whim, yet we spend millions trying to find bacterial life on another one and, at the same time, littering/contaminating the solar system with rubbish like we litter this planet. Amazing! I'm all for exploration, but can't we be a little bit more responsible about the way we go about it, and more importantly, care more for the life that is right in front of our eyes on earth. We are so irresponsible!!!!!!!",0
64,"Meanwhile in mars""(Marsians see the Rover landing)Marsians:The Gods must be crazy",0
65,In the first manned mission to Mars is accomplished. Meridian base is established by the USA (NASA/SpaceX) The mission will be named Ares1 This will happen in the next years (2024) If you dont believe me Take a Screen Shot and comeback In after they succeeded the mission this was written in,0
66,I'll be impressed when when perseverance captures a glimpse of Elon's Tesla screaming by the planet.,0
67,How fast is NASA's Internet?,0
68,Im here to herd sheep,0
69,no transformers?,0
70,Pog,0
71,I can't believe that nasa was able to get complete clear footage of landing.hats off nasa,0
72,I hope people dont really believe any of this is real. They can get to Mars but they just cant figure out how to get back to the moon. Total BS!,0
73,Wow that's so cool,0
74,The nerd celebration at the end,0
75,Seconds later a giant worm eats rover,0
76,Waiting for confused Travolta memes,0
77,What a huge success!!!!,0
78,"Great news. But I wish there wasn't anyone on Earth suffering from hunger, malnutrition and of lack of education..We need to sort out our priorities.",0
79,Gives me goosebumps just thinking how far this is from us.,0
80,And Robot Planet Mars gets it's latest Citizen,0
81,rest is up to elon musk,0
82,It feels so surreal to be able to see so clearly the surface of another planet. I hope i can live long enough to see maybe the first man on Mars!,0
83,Millions of dollars just to see dust and rock,0
84,"Interesting dust cloud, just before touchdown. Did Apolo have this on the moon",0
85,"Wow, awe-inspiring. Simply impressive.",0
86,amazing ..understated and historic video from another planet,0
87,Broadsword Calling Danny Boy,0
88,Just simply incredible!!!,0
89,Just the idea of being able to send and receive video files million miles away is an achievement in itself!,0
90,Where is flat mars society?,0
91,"Brother Curie Im home, Persie",0
92,Amazing,0
93,"Wow, this is so cool!",0
94,When human finally manage to settle a colonies there I hope some of the city are named after all of these rovers,0
95,Mars is flat,0
96,Amazing,0
97,Utterly a.azing,0
98,I dont want to offend mars but it looks like a chocolate moose,0
99,Mars looks a lot like Greenland...,0
